,Id,SalePrice
0,1461,121425.0
1,1462,150590.0
2,1463,172507.2
3,1464,190200.0
4,1465,212150.0
5,1466,179510.0
6,1467,176262.5
7,1468,173338.5
8,1469,173513.5
9,1470,126450.0
10,1471,194940.0
11,1472,98650.0
12,1473,91690.0
13,1474,162140.0
14,1475,131240.0
15,1476,369151.3
16,1477,259122.8
17,1478,326978.7
18,1479,269277.6
19,1480,398449.0
20,1481,335844.1
21,1482,235700.0
22,1483,174574.4
23,1484,189203.0
24,1485,169056.5
25,1486,208991.1
26,1487,322415.4
27,1488,254219.0
28,1489,202910.0
29,1490,199860.0
30,1491,200640.0
31,1492,104450.0
32,1493,162750.0
33,1494,328194.3
34,1495,344887.4
35,1496,236240.0
36,1497,197720.0
37,1498,163699.9
38,1499,154650.0
39,1500,156810.0
40,1501,175350.0
41,1502,165330.0
42,1503,307566.6
43,1504,224483.0
44,1505,230190.0
45,1506,169600.0
46,1507,210312.4
47,1508,208980.0
48,1509,163830.0
49,1510,153955.0
50,1511,147570.0
51,1512,150425.0
52,1513,147140.0
53,1514,138200.0
54,1515,180650.0
55,1516,160550.0
56,1517,161690.0
57,1518,134735.0
58,1519,235540.6
59,1520,136695.0
60,1521,140350.0
61,1522,160250.0
62,1523,112440.0
63,1524,128620.0
64,1525,113151.6
65,1526,126755.0
66,1527,110392.1
67,1528,127190.0
68,1529,138130.0
69,1530,168640.0
70,1531,145595.0
71,1532,104455.0
72,1533,128860.0
73,1534,123280.0
74,1535,139490.0
75,1536,120300.0
76,1537,68100.0
77,1538,186890.0
78,1539,274100.0
79,1540,93790.0
80,1541,156550.0
81,1542,148490.0
82,1543,208836.4
83,1544,75580.8
84,1545,108150.0
85,1546,136880.0
86,1547,161120.0
87,1548,145670.0
88,1549,119780.0
89,1550,147958.7
90,1551,115950.0
91,1552,142587.2
92,1553,125890.0
93,1554,118257.5
94,1555,178160.5
95,1556,102585.0
96,1557,121340.0
97,1558,86990.0
98,1559,98545.0
99,1560,140130.0
100,1561,133743.4
101,1562,132580.0
102,1563,126740.0
103,1564,157340.0
104,1565,148350.0
105,1566,246707.8
106,1567,67700.0
107,1568,215850.0
108,1569,164800.0
109,1570,117940.0
110,1571,129897.1
111,1572,143124.0
112,1573,251500.0
113,1574,110331.8
114,1575,230800.0
115,1576,219350.0
116,1577,200130.0
117,1578,138455.0
118,1579,145700.0
119,1580,211370.0
120,1581,141325.0
121,1582,125120.0
122,1583,330345.0
123,1584,242120.0
124,1585,143450.0
125,1586,66616.1
126,1587,102290.0
127,1588,149530.0
128,1589,99140.0
129,1590,133150.0
130,1591,113672.5
131,1592,113950.0
132,1593,117940.0
133,1594,154500.0
134,1595,124000.0
135,1596,222765.0
136,1597,171730.0
137,1598,201285.0
138,1599,199060.0
139,1600,201000.0
140,1601,84071.1
141,1602,118800.0
142,1603,102790.0
143,1604,296930.0
144,1605,271150.0
145,1606,169130.0
146,1607,184490.0
147,1608,209653.1
148,1609,189475.0
149,1610,152707.2
150,1611,157140.0
151,1612,170860.0
152,1613,180530.0
153,1614,122830.0
154,1615,90800.0
155,1616,91270.0
156,1617,93740.0
157,1618,129150.8
158,1619,120893.3
159,1620,144640.0
160,1621,136140.0
161,1622,139550.0
162,1623,318329.4
163,1624,217047.0
164,1625,125575.0
165,1626,180600.0
166,1627,189300.0
167,1628,297650.0
168,1629,181000.0
169,1630,357453.1
170,1631,237300.0
171,1632,265190.0
172,1633,171120.1
173,1634,186820.0
174,1635,178690.0
175,1636,170970.0
176,1637,160640.0
177,1638,216000.0
178,1639,173830.0
179,1640,252380.0
180,1641,196605.0
181,1642,226650.0
182,1643,242323.0
183,1644,226390.0
184,1645,184800.0
185,1646,155800.0
186,1647,155370.0
187,1648,142640.0
188,1649,137450.0
189,1650,128750.0
190,1651,125065.8
191,1652,95440.0
192,1653,106390.0
193,1654,169239.0
